Section,Title,Data
Revenue Overview,"totalRevenue","2998"
Revenue Overview,"monthlyRecurringRevenue","16994"
Revenue Overview,"annualRecurringRevenue","203928"
Revenue Overview,"averageRevenuePerUser","404.6190476190476"
Revenue Overview,"revenueGrowthRate","0"
