Section,Title,Data
Revenue Overview,"totalRevenue","0"
Revenue Overview,"monthlyRecurringRevenue","5995"
Revenue Overview,"annualRecurringRevenue","71940"
Revenue Overview,"averageRevenuePerUser","111.01851851851852"
Revenue Overview,"revenueGrowthRate","0"
