Section,Title,Data
Revenue Overview,"totalRevenue","0"
Revenue Overview,"monthlyRecurringRevenue","7994"
Revenue Overview,"annualRecurringRevenue","95928"
Revenue Overview,"averageRevenuePerUser","140.24561403508773"
Revenue Overview,"revenueGrowthRate","0"
