Section,Title,Data
Revenue Overview,"totalRevenue","2998"
Revenue Overview,"monthlyRecurringRevenue","10992"
Revenue Overview,"annualRecurringRevenue","131904"
Revenue Overview,"averageRevenuePerUser","154.81690140845072"
Revenue Overview,"revenueGrowthRate","0"
